Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Nsites,Density (gm/cc),Volume,Has Bandstructure,Crystal System
mp-849394,Li2MnSiO4,Pc,-2.699,0point006,3.462,16,,178.513,True,monoclinic
mp-783909,Li2MnSiO4,P21/c,-2.696,0point008,2.879,32,2.926,365.272,1,monoclinic
mp-761311,Li4MnSi2O7,Cc,-2.775,0point012,3.653,28,2.761,301.775,1,monoclinic
mp-761598,Li4Mn2Si3O10,C2/c,-2.783,0point013,3.015,38,2.908,436.183,1,monoclinic
mp-767709,Li2Mn3Si3O10,C2/c,-2.747,0point016,2.578,36,3.334,421.286,1,monoclinic
mp-761517,Li4MnSi2O7,C2,-2.763,0point024,3.293,14,2.792,149.207,True,monoclinic
mp-850949,LiMnSiO4,P21,-2.65,0point027,1.052,28,3.507,291.575,0,monoclinic
mp-853204,Li2MnSiO4,P21/c,-2.676,0point029,3.384,32,2.927,365.179,0,monoclinic
mp-767360,LiMn(SiO3)2,C2/c,-2.822,0point038,0.612,20,3.255,218.36,1,monoclinic
mp-764791,Li2Mn(SiO3)2,Cc,-2.823,0point04,3.447,22,,271.853,True,monoclinic
mp-782667,Li2MnSiO4,P21/c,-2.66,0point044,2.785,32,2.977,358.984,True,monoclinic
mp-767686,Li2Mn(SiO3)2,C2/c,-2.818,0point045,3.397,22,2.702,271.581,1,monoclinic
mp-772591,Li2Mn2Si2O7,P21/c,-2.697,0point049,2.461,52,3.047,636.288,1,monoclinic
mp-849242,Li10Mn(SiO5)2,C2/m,-2.496,0point052,0.988,46,2.4,471.249,1,monoclinic
mp-780126,Li3MnSi2O7,P21,-2.721,0point058,0.921,78,2.89,840.856,0,monoclinic
mp-868532,Li5Mn(SiO4)2,C2,-2.649,0point067,0.584,16,2.588,175.701,False,monoclinic
mp-850142,Li2Mn(Si2O5)2,P21/c,-2.942,0point069,3.823,68,2.31,980.879,0,monoclinic
mp-767853,Li2Mn2Si3O10,Cc,-2.712,0point073,1.262,34,2.847,429.302,1,monoclinic
mp-849428,Li2Mn2(SiO3)3,P21/c,-2.769,0point077,3.188,64,,929.064,False,monoclinic
mp-761329,LiMn(SiO3)2,C2/c,-2.782,0point078,1.497,20,3.104,228.983,1,monoclinic
mp-761653,Li2MnSi3O8,P21,-2.871,0point082,2.736,28,2.672,349.386,True,monoclinic
mp-769543,Li3Mn2(SiO4)2,P21,-2.612,0point083,0.0,30,2.887,362.254,1,monoclinic
mp-849217,Li4Mn(SiO3)3,C2,-2.794,0point083,2.862,34,2.649,389.814,1,monoclinic
mp-767695,Li2MnSi3O8,P21,-2.868,0point085,3.261,28,2.628,355.18,1,monoclinic
mp-767303,Li2Mn(SiO3)2,C2,-2.778,0point085,3.169,22,2.92,251.377,1,monoclinic
mp-780037,LiMn2Si2O7,Cc,-2.653,0point085,0.716,24,3.281,288.498,True,monoclinic
mp-774171,Li3Mn2(SiO4)2,Pc,-2.608,0point087,0.0,30,2.892,361.543,1,monoclinic
mp-778631,Li3Mn2(SiO4)2,Pc,-2.607,0point087,0.37,30,,359.241,True,monoclinic
